symbol,gain,invested,value,shares,percentage_value,close,high,basis,panic
AMD,0.9153625244659425,1250.0,1144.203155582428,14.11725,2.3823982551486282,81.05000305175781,97.25,88.54415697108148,0.8334190545167899
PYPL,0.9163720587047229,1925.0,1764.0162130065917,7.0462,3.67293965885068,250.35000610351562,304.7900085449219,273.19690045698394,0.8213852130478138
NIO,0.9163966933333333,750.0,687.29752,15.10544,1.4310539211740712,45.5,62.84000015258789,49.65098666440699,0.7240611058166302
TSM,0.919527333720834,700.0,643.6691336045837,5.44099,1.3402132421248323,118.30000305175781,140.0500030517578,128.6530576237045,0.8446983254119464
BABA,0.9370812168547986,2550.0,2389.5571029797366,10.30559,4.97540724734247,231.8699951171875,270.8299865722656,247.43852608147617,0.8561459462145548
ADBE,0.9940984380720089,780.0,775.396781696167,1.74521,1.61448946434734,444.29998779296875,504.1700134277344,446.93761782249703,0.8812503242155889
JD,1.030395590621065,1900.0,1957.7516221800233,23.30102,4.076325105327924,84.0199966430664,106.87999725341797,81.54149475001523,0.7861152582540836
JMIA,1.1639017949551174,1400.0,1629.4625129371643,34.00381,3.3927791832347722,47.91999816894531,65.51000213623047,41.171856918386496,0.7314913235584073
MMM,1.1944260061729433,200.0,238.88520123458864,1.29183,0.4973939145556864,184.9199981689453,185.1244659423828,154.81913254840032,0.9988955118795527
TMUS,1.2064959460678102,200.0,241.29918921356202,1.8982,0.5024201904586999,127.12000274658203,135.05999755859375,105.36297545042672,0.9412113508400808
OKTA,1.2093833600000001,250.0,302.34584,1.33192,0.6295282425617779,227.0,291.7799987792969,187.69896089855246,0.7779834154146508
NHI,1.2218125539945603,2000.0,2443.625107989121,32.07699,5.087984738643091,76.18000030517578,76.18000030517578,62.349989821364154,1.0
SE,1.2256359893565458,850.0,1041.7905909530639,4.433339999999999,2.1691603226294704,234.99000549316406,280.0,191.72903499393237,0.839250019618443
MELI,1.2449936912080077,2500.0,3112.4842280200196,2.00786,6.480647215343511,1550.1500244140625,1984.3399658203125,1245.1067305489428,0.781191757014903
CVS,1.2575706216490172,1000.0,1257.5706216490173,17.01259,2.618445894092766,73.91999816894531,75.75328826904297,58.7799976370441,0.9757992010381569
ESTC,1.3778079071358234,750.0,1033.3559303518675,8.88679,2.1515981260903145,116.27999877929688,171.2899932861328,84.39492775231552,0.6788487555432148
AMZN,1.3890234651003197,2750.0,3819.8145290258794,1.23639,7.95341231541207,3089.489990234375,3380.0,2224.217277719813,0.91405029296875
ULTA,1.4549720360872398,1500.0,2182.4580541308596,6.85984,4.544196749265006,318.1499938964844,347.5,218.66399216308253,0.91553955078125
GOOGL,1.478747,500.0,739.3735,0.36067,1.5394837251663547,2050.0,2118.6201171875,1386.3088141514404,0.9676109385392818
WORK,1.626391762011051,800.0,1301.1134096088408,31.9135,2.7091083446844055,40.77000045776367,44.279998779296875,25.067761292243095,0.9207317430375742
eth,1.6798923943249642,4820.23,8097.467715897022,4.24587103,16.860111653559994,1907.1393498961322,1500.0,1135.2747094628542,1.2714262332640882
LMND,1.8092150926137485,1300.0,2351.979620397873,22.49837,4.897165434689594,104.54000091552734,183.25999450683594,57.78196376004128,0.5704463824570715
btc,2.0661346066341992,28.0,57.85176898575757,0.00095111,0.1204558410947342,60825.52910363425,1500.0,29439.2867281387,40.55035273575617
ALB,2.1583788300173246,1300.0,2805.892479022522,17.84011,5.842278369486937,157.27999877929688,184.77561950683594,72.86950584945946,0.8511945417857368
SQM,2.16450261,1000.0,2164.50261,37.97373,4.506810889455867,57.0,60.060001373291016,26.333994579937233,0.9490509273505975
RDFN,2.8383610425134997,850.0,2412.6068861364747,32.336240000000004,5.023400265807984,74.61000061035156,96.58999633789062,26.286296737035595,0.7724402468072495
LTHM,3.1650329561296466,100.0,316.5032956129647,16.33987,0.6590061350016938,19.3700008392334,23.40999984741211,6.119999730720012,0.8274242189443962
APPN,3.7169749043782554,300.0,1115.0924713134766,6.413,2.321785554449311,173.8800048828125,235.24000549316406,46.77997816934352,0.739160010297931
